地名,センター,可燃物,不燃物,資源プラ,缶・びん,ペットボトル,スプレー缶・蛍光管等,古紙・布類
東津留,大分センター,月 木,月1:4 5 月2:12 2 3 月3:9 10 11 1 月4:6 7 8 月5:5,金,水1:6 7 8 12 2 3 水2:4 5 9 10 11 1 水3:6 7 8 12 2 3 水4:4 5 9 10 11 1 水5:8,火1:6 7 8 12 2 3 火2:4 5 9 10 11 1 火3:6 7 8 12 2 3 火4:4 5 9 10 11 1 火5:8,火1:9 10 火2:6 7 8 火3:4 5 火4:11 12 2 3 火5:10 1,土1:5 6 7 10 11 12 1 2 3 土2:4 8 9 土3:5 6 7 10 11 12 1 2 3 土4:4 8 9 土5:7 3
今津留,大分センター,月 木,月1 月2:12 2 3,金,水2 水4:4 5 9 10 11 1,火1 火3:6 7 8 12 2 3,火1 火4:11 12 2 3,土3 土4 土5:7 3
花津留,大分センター,月 木,月1:4 5,金,水2:4 5 9 10 11 1,火3:6 7 8 12 2 3,火4:11 12 2 3,土5:7 3
花津留,大分センター,月 木,月2:12 2 3,金,水3:6 7 8 12 2 3,火4:4 5 9 10 11 1,火5:10 1,土1:5 6 7 10 11 12 1 2 3
